COL1 COL2 COL3 COL4 COL5 COL6 COL7 COL8
Empoyee Number: 011051 FAILED SWIPE 12/18/2018 5:44:47 AM
Empoyee Number: 000151 FAILED SWIPE 12/18/2018 6:05:59 AM
Empoyee Number: 000570 FAILED SWIPE 12/18/2018 7:00:16 AM
Empoyee Number: 000572 FAILED SWIPE 12/18/2018 7:00:20 AM
Empoyee Number: 000556 FAILED SWIPE 12/18/2018 7:00:27 AM
Empoyee Number: 0111257 FAILED SWIPE 12/18/2018 7:00:30 AM
Empoyee Number: 010244 FAILED SWIPE 12/18/2018 7:00:35 AM
Empoyee Number: 010244 FAILED SWIPE 12/18/2018 7:00:44 AM
Empoyee Number: 010244 FAILED SWIPE 12/18/2018 7:00:46 AM
Empoyee Number: 000086 FAILED SWIPE 12/18/2018 7:00:51 AM
Empoyee Number: 000043 FAILED SWIPE 12/18/2018 7:00:59 AM
Empoyee Number: 000536 FAILED SWIPE 12/18/2018 7:01:45 AM
Empoyee Number: 010586 FAILED SWIPE 12/18/2018 7:01:57 AM
Empoyee Number: 010332 FAILED SWIPE 12/18/2018 7:02:01 AM
Empoyee Number: 010256 FAILED SWIPE 12/18/2018 7:02:25 AM
Empoyee Number: 011169 FAILED SWIPE 12/18/2018 7:02:33 AM
Empoyee Number: 000608 FAILED SWIPE 12/18/2018 7:02:41 AM
Empoyee Number: 000770 FAILED SWIPE 12/18/2018 7:02:45 AM
Empoyee Number: 000780 FAILED SWIPE 12/18/2018 7:02:48 AM
Empoyee Number: 000166 FAILED SWIPE 12/18/2018 7:02:52 AM
Empoyee Number: 000441 FAILED SWIPE 12/18/2018 7:03:09 AM
Empoyee Number: 000441 FAILED SWIPE 12/18/2018 7:03:15 AM
Empoyee Number: 000543 FAILED SWIPE 12/18/2018 7:03:34 AM
Empoyee Number: 010535 FAILED SWIPE 12/18/2018 7:03:37 AM
Empoyee Number: 010531 FAILED SWIPE 12/18/2018 7:03:40 AM
Empoyee Number: 000698 FAILED SWIPE 12/18/2018 7:03:43 AM
Empoyee Number: 000693 FAILED SWIPE 12/18/2018 7:03:46 AM
Empoyee Number: 000411 FAILED SWIPE 12/18/2018 7:03:49 AM
Empoyee Number: 000323 FAILED SWIPE 12/18/2018 7:03:52 AM
Empoyee Number: 000264 FAILED SWIPE 12/18/2018 7:03:55 AM
Empoyee Number: 000571 FAILED SWIPE 12/18/2018 7:03:58 AM
Empoyee Number: 000922 FAILED SWIPE 12/18/2018 7:04:01 AM
Empoyee Number: 010897 FAILED SWIPE 12/18/2018 7:04:04 AM
Empoyee Number: 010897 FAILED SWIPE 12/18/2018 7:04:05 AM
Empoyee Number: 000819 FAILED SWIPE 12/18/2018 7:04:07 AM
Empoyee Number: 010266 FAILED SWIPE 12/18/2018 7:04:11 AM
Empoyee Number: 000020 FAILED SWIPE 12/18/2018 7:04:17 AM
Empoyee Number: 000613 FAILED SWIPE 12/18/2018 7:04:24 AM
Empoyee Number: 001044 FAILED SWIPE 12/18/2018 7:04:39 AM
Empoyee Number: 000478 FAILED SWIPE 12/18/2018 7:04:44 AM
Empoyee Number: 010589 FAILED SWIPE 12/18/2018 7:04:49 AM
Empoyee Number: 010265 FAILED SWIPE 12/18/2018 7:04:59 AM
Empoyee Number: 001030 FAILED SWIPE 12/18/2018 7:05:16 AM
Empoyee Number: 000810 FAILED SWIPE 12/18/2018 7:05:36 AM
Empoyee Number: 010510 FAILED SWIPE 12/18/2018 7:06:06 AM
Empoyee Number: 010484 FAILED SWIPE 12/18/2018 7:06:10 AM
Empoyee Number: 000418 FAILED SWIPE 12/18/2018 7:06:22 AM
Empoyee Number: 010612 FAILED SWIPE 12/18/2018 7:06:48 AM
Empoyee Number: 010901 FAILED SWIPE 12/18/2018 7:07:15 AM
Empoyee Number: 011029 FAILED SWIPE 12/18/2018 7:07:19 AM
Empoyee Number: 010324 FAILED SWIPE 12/18/2018 7:07:23 AM
Empoyee Number: 010300 FAILED SWIPE 12/18/2018 7:07:45 AM
