COLUMN1 COLUMN2 EMPLOYEEID DATE TIME COLUMN6
Empoyee Number: 000780 11/5/2018 12:40:13 PM
Empoyee Number: 000467 11/5/2018 12:40:16 PM
Empoyee Number: 000003 11/5/2018 12:40:21 PM
Empoyee Number: 010305 11/5/2018 12:40:23 PM
Empoyee Number: 000371 11/5/2018 12:40:25 PM
Empoyee Number: 000441 11/5/2018 12:40:26 PM
Empoyee Number: 000414 11/5/2018 12:40:29 PM
Empoyee Number: 000543 11/5/2018 12:40:31 PM
Empoyee Number: 000859 11/5/2018 12:40:32 PM
Empoyee Number: 010697 11/5/2018 12:40:35 PM
Empoyee Number: 011075 11/5/2018 12:40:38 PM
Empoyee Number: 0111285 11/5/2018 12:40:40 PM
Empoyee Number: 010746 11/5/2018 12:40:43 PM
Empoyee Number: 000840 11/5/2018 12:40:45 PM
Empoyee Number: 000536 11/5/2018 12:40:48 PM
Empoyee Number: 011143 11/5/2018 12:40:52 PM
Empoyee Number: 010824 11/5/2018 12:40:54 PM
Empoyee Number: 000547 11/5/2018 12:40:56 PM
Empoyee Number: 0111226 11/5/2018 12:40:59 PM
Empoyee Number: 001012 11/5/2018 12:41:01 PM
Empoyee Number: 010564 11/5/2018 12:41:03 PM
Empoyee Number: 000531 11/5/2018 12:41:04 PM
Empoyee Number: 010270 11/5/2018 12:41:06 PM
Empoyee Number: 011073 11/5/2018 12:41:12 PM
Empoyee Number: 011140 11/5/2018 12:41:14 PM
Empoyee Number: 010783 11/5/2018 12:41:17 PM
Empoyee Number: 0111224 11/5/2018 12:41:18 PM
Empoyee Number: 0111236 11/5/2018 12:41:22 PM
Empoyee Number: 010991 11/5/2018 12:41:29 PM
Empoyee Number: 010730 11/5/2018 12:41:32 PM
Empoyee Number: 010683 11/5/2018 12:41:35 PM
Empoyee Number: 000535 11/5/2018 12:41:37 PM
Empoyee Number: 010586 11/5/2018 12:41:39 PM
Empoyee Number: 010569 11/5/2018 12:41:41 PM
Empoyee Number: 000482 11/5/2018 12:41:43 PM
Empoyee Number: 011107 11/5/2018 12:41:44 PM
Empoyee Number: 010756 11/5/2018 12:41:46 PM
Empoyee Number: 000433 11/5/2018 12:41:48 PM
Empoyee Number: 010359 11/5/2018 12:41:49 PM
Empoyee Number: 010905 11/5/2018 12:41:51 PM
Empoyee Number: 000633 11/5/2018 12:41:54 PM
Empoyee Number: 010986 11/5/2018 12:41:57 PM
Empoyee Number: 000031 11/5/2018 12:41:59 PM
Empoyee Number: 010245 11/5/2018 12:42:01 PM
Empoyee Number: 000086 11/5/2018 12:42:04 PM
Empoyee Number: 010815 11/5/2018 12:42:07 PM
Empoyee Number: 010827 11/5/2018 12:42:09 PM
Empoyee Number: 0111214 11/5/2018 12:42:12 PM
Empoyee Number: 011114 11/5/2018 12:42:14 PM
Empoyee Number: 011163 11/5/2018 12:42:17 PM
Empoyee Number: 000418 11/5/2018 12:42:19 PM
